City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,conde,-7.2597,-34.9075,25.7,78,20,2.57,BR,1731370120
165,kokopo,-4.352,152.2633,29.54,65,29,2.68,PG,1731370121
166,ngereklmadel,7.4883,134.4856,30.05,74,75,3.09,PW,1731370122
167,aitape,-3.1374,142.3475,30.14,65,96,2.45,PG,1731370123
168,mahibadhoo,3.7833,72.9667,27.66,73,48,2.26,MV,1731370124
169,duluth,46.7833,-92.1066,3.53,68,0,2.06,US,1731370125
170,katsuren-haebaru,26.3369,127.8719,26.16,89,75,6.17,JP,1731370126
171,alice springs,-23.7,133.8833,23.75,69,97,2.57,AU,1731370127
172,mahriz,31.5917,54.4318,13.79,34,52,1.16,IR,1731370128
173,trairi,-3.2778,-39.2689,25.56,77,100,4.78,BR,1731370130
174,lauttasaari,60.1594,24.8753,6.3,93,75,2.68,FI,1731370131
175,touros,-5.1989,-35.4608,26.38,71,97,4.48,BR,1731370132
176,severo-yeniseyskiy,60.3725,93.0408,-16.7,97,71,2.09,RU,1731370133
177,lihue,21.9789,-159.3672,25.77,97,100,4.12,US,1731370047
178,undurkhaan,47.3194,110.6556,-1.74,47,53,1.15,MN,1731370135
179,ust-nera,64.5667,143.2,-29.82,99,84,0.82,RU,1731370136
180,adrar,20.5022,-10.0711,23.18,17,1,2.86,MR,1731370137
181,keflavik,64.0049,-22.5624,10.24,100,100,16.46,IS,1731370139
182,al bayda',32.7627,21.7551,15.27,61,3,5.02,LY,1731370080
183,cabo san lucas,22.8909,-109.9124,27.09,62,58,3.58,MX,1731369733
184,jining,35.405,116.5814,15.22,80,14,1.75,CN,1731370072
185,mugia,43.1041,-9.2179,14.39,82,53,10.95,ES,1731370144
186,magistral'nyy,56.1725,107.4458,-5.34,90,100,1.27,RU,1731370139
187,lebu,-37.6167,-73.65,11.8,73,85,7.19,CL,1731370051
188,alesund,62.4723,6.1549,6.85,93,100,2.57,NO,1731370147
189,neryungri,56.6709,124.6491,-22.96,96,41,1.11,RU,1731370149
190,huarmey,-10.0681,-78.1522,19.14,83,65,3.91,PE,1731370150
191,dampit,-8.2116,112.7493,25.54,80,97,0.94,ID,1731370151
192,college,64.8569,-147.8028,-15.61,80,75,0.0,US,1731370152
193,georgetown,5.4112,100.3354,26.96,83,20,1.03,MY,1731369878
194,pacasmayo,-7.4006,-79.5714,18.57,82,42,7.4,PE,1731370154
195,brazzaville,-4.2658,15.2832,22.1,95,8,0.7,CG,1731370038
196,heber springs,35.4915,-92.0313,13.85,72,41,1.49,US,1731370156
197,omaruru,-21.4333,15.9333,19.1,29,0,1.21,NA,1731370157
198,la passe,45.5549,-0.8967,10.39,84,75,6.29,FR,1731370159
199,constitucion,-35.3333,-72.4167,14.33,69,16,7.41,CL,1731370160
200,nova vicosa,-17.8919,-39.3719,23.73,78,15,2.11,BR,1731370161
201,marakkanam,12.2,79.95,25.25,80,100,4.76,IN,1731370162
202,arkhangel'sk,64.5401,40.5433,0.06,100,100,7.0,RU,1731369942
203,coxen hole,16.3244,-86.5366,27.41,74,7,2.54,HN,1731370164
204,jianshui,23.6363,102.8264,16.14,97,54,0.86,CN,1731370165
205,port alfred,-33.5906,26.891,17.32,94,1,0.89,ZA,1731370166
206,la rinconada,37.4873,-5.9826,16.3,71,0,2.57,ES,1731370168
207,antsiranana,-12.2787,49.2917,25.23,77,97,5.77,MG,1731370169
208,belmonte,-15.8631,-38.8828,22.96,92,15,2.2,BR,1731370170
209,sagalo,12.2007,-10.6996,22.28,42,43,0.94,ML,1731370171
210,cole harbour,44.6724,-63.4751,11.22,92,100,4.47,CA,1731370172
211,tanout,14.9709,8.8879,22.16,24,0,4.92,NE,1731370173
212,aykhal,66.0,111.5,-16.77,99,100,2.45,RU,1731370174
213,new norfolk,-42.7826,147.0587,19.28,32,3,1.52,AU,1731370068
214,yarmouth,41.7057,-70.2286,14.42,88,75,1.79,US,1731370176
215,saeby,57.3319,10.5225,6.08,88,11,1.6,DK,1731370178
216,kapuskasing,49.4169,-82.4331,-1.95,86,100,7.72,CA,1731370179
217,hammerfest,70.6634,23.6821,5.25,93,100,1.54,NO,1731370180
218,pemba,-12.974,40.5178,26.27,81,37,3.21,MZ,1731370181
219,panjakent,39.4952,67.6093,6.78,61,99,0.85,TJ,1731370182
220,al hamul,31.3115,31.1477,17.37,73,66,2.0,EG,1731370183
221,turpan,42.9333,89.1667,6.98,63,0,0.92,CN,1731370184
222,atafu village,-8.5421,-172.5159,28.72,72,4,6.52,TK,1731370185
223,guerrero negro,27.9769,-114.0611,18.81,62,91,6.07,MX,1731370186
224,tazovsky,67.4667,78.7,-24.1,96,90,5.42,RU,1731370188
225,artova,40.1158,36.3001,4.71,76,11,0.38,TR,1731370189
226,naha,26.2125,127.6811,26.1,89,75,7.2,JP,1731370190
227,nar'yan-mar,67.6713,53.087,-6.99,99,100,2.36,RU,1731369922
228,saint-philippe,-21.3585,55.7679,23.23,87,62,5.15,RE,1731370192
